Id,MSZoning,LotArea,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageCars,GarageArea,PavedDrive,WoodDeckSF,OpenPorchSF,ScreenPorch,PoolArea,MoSold,YrSold,SaleType,SaleCondition,SalePrice,OverallQual_binned,Normalized_OverallQual,Normalized_SalePrice
411,RL,9571,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,1958,1958,Gable,CompShg,BrkComm,Brk Cmn,None,0,TA,Fa,CBlock,TA,Fa,No,Unf,0,Unf,1276,1276,GasA,TA,Y,FuseA,1276,0,1276,0,1,0,3,TA,5,Mod,0,1,350,Y,0,0,0,0,6,2009,COD,Abnorml,60000,Medium,0.020923433,0.00794738
412,RL,34650,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,Mn,Rec,1056,Unf,0,1056,GasA,TA,N,SBrkr,1056,0,1056,1,1,0,3,TA,5,Typ,0,2,572,Y,264,0,0,0,1,2006,WD,Normal,145000,Medium,0.020923433,0.019206169
413,FV,4403,IR2,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,2009,2009,Gable,CompShg,MetalSd,MetalSd,Stone,432,Ex,TA,PConc,Ex,TA,Av,GLQ,578,Unf,892,1470,GasA,Ex,Y,SBrkr,1478,0,1478,1,2,1,2,Gd,7,Typ,1,2,484,Y,0,144,0,0,6,2010,New,Partial,222000,Medium,0.029292806,0.029405307
414,RM,8960,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,1927,1950,Gable,CompShg,WdShing,Wd Shng,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1008,1008,GasA,Gd,Y,FuseA,1028,0,1028,0,1,0,2,TA,5,Typ,1,2,360,Y,0,0,0,0,3,2010,WD,Normal,115000,Medium,0.020923433,0.015232479
415,RL,11228,IR2,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,1993,1993,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,BLQ,50,GLQ,499,1080,GasA,Ex,Y,SBrkr,1080,1017,2097,0,2,1,3,Gd,9,Typ,1,3,678,Y,196,187,0,0,12,2008,WD,Normal,228000,Medium,0.029292806,0.030200045
416,RL,8899,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,24,Unf,1316,1340,GasA,Ex,Y,SBrkr,1340,0,1340,0,2,0,3,Gd,6,Typ,0,2,396,Y,100,30,0,0,8,2007,New,Partial,181134,Medium,0.029292806,0.023992346
417,RL,7844,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,1978,1978,Hip,CompShg,HdBoard,HdBoard,BrkFace,203,TA,TA,CBlock,TA,TA,No,ALQ,209,Unf,463,672,GasA,TA,Y,SBrkr,672,728,1400,0,1,1,3,TA,6,Typ,1,2,440,Y,0,0,0,0,3,2006,WD,Normal,149500,Medium,0.025108119,0.019802222
418,RL,22420,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Feedr,Norm,1Fam,2Story,6,1918,1950,Hip,CompShg,Wd Sdng,Stucco,None,0,TA,TA,BrkTil,Gd,TA,No,BLQ,1128,Unf,242,1370,GasW,TA,N,FuseA,1370,1254,2624,1,2,1,4,TA,10,Typ,1,3,864,N,0,0,0,0,11,2007,WD,Normal,239000,Medium,0.025108119,0.031657065
419,RL,8160,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,1940,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,312,Unf,444,756,GasA,Fa,N,FuseF,756,378,1134,1,1,1,3,TA,7,Typ,0,1,240,P,0,0,0,0,4,2007,WD,AdjLand,126000,Medium,0.020923433,0.016689498
420,RL,8450,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,BLQ,775,Unf,281,1056,GasA,Ex,Y,SBrkr,1056,0,1056,1,1,0,3,TA,6,Typ,1,1,304,Y,0,85,0,0,7,2010,WD,Normal,142000,Medium,0.020923433,0.0188088
421,RM,7060,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,SFoyer,7,1997,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,200,TA,Gd,PConc,Gd,Gd,Gd,GLQ,1309,Unf,35,1344,GasA,Ex,Y,SBrkr,1344,0,1344,2,2,0,2,TA,8,Typ,0,4,784,Y,0,0,0,0,11,2008,WD,Alloca,206300,Medium,0.029292806,0.027325742
422,RL,16635,IR1,Lvl,AllPub,FR2,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,1977,2000,Gable,CompShg,CemntBd,CmentBd,Stone,126,Gd,TA,CBlock,Gd,TA,No,ALQ,1246,Unf,356,1602,GasA,Gd,Y,SBrkr,1602,0,1602,0,2,0,3,Gd,8,Typ,1,2,529,Y,240,0,0,0,6,2009,WD,Normal,215000,Medium,0.025108119,0.028478112
423,RL,21750,Reg,HLS,AllPub,Inside,Mod,Mitchel,Artery,Norm,1Fam,1Story,5,1954,1954,Hip,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,988,988,GasA,Ex,Y,FuseA,988,0,988,0,1,0,2,TA,4,Typ,0,2,520,N,0,0,0,0,2,2008,WD,Normal,113000,Medium,0.020923433,0.014967566
424,RL,9200,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,473,Gd,TA,PConc,Gd,TA,No,GLQ,986,Unf,484,1470,GasA,Gd,Y,SBrkr,1470,1160,2630,1,2,1,4,Gd,8,Typ,1,3,696,Y,0,66,0,0,6,2008,WD,Normal,315000,High,0.033477492,0.041723746
425,RL,9000,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,74,TA,TA,CBlock,Gd,TA,No,LwQ,616,Unf,580,1196,GasA,Gd,Y,FuseA,1196,0,1196,1,1,0,2,TA,6,Typ,1,1,297,Y,0,44,0,0,5,2008,WD,Normal,139000,Medium,0.025108119,0.018411431
426,RM,3378,Reg,HLS,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,1946,1992,Gable,CompShg,HdBoard,HdBoard,None,0,TA,Gd,CBlock,TA,TA,No,Unf,0,Unf,651,651,GasA,Gd,Y,SBrkr,707,682,1389,0,1,1,3,TA,6,Typ,2,1,240,P,0,0,0,0,9,2009,WD,Normal,135000,Medium,0.029292806,0.017881605
427,RL,12800,Reg,Low,AllPub,Inside,Mod,SawyerW,Norm,Norm,1Fam,SLvl,7,1989,1989,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,145,Gd,TA,PConc,Gd,TA,Gd,GLQ,1518,Unf,0,1518,GasA,Gd,Y,SBrkr,1644,0,1644,1,2,0,2,Gd,5,Typ,1,2,569,Y,80,0,396,0,8,2009,WD,Normal,275000,Medium,0.029292806,0.036425493
428,RL,8593,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,1957,1957,Hip,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,288,Unf,619,907,GasA,Ex,Y,SBrkr,907,0,907,0,1,0,3,TA,5,Typ,0,1,352,Y,0,0,0,0,7,2008,WD,Normal,109008,Low,0.016738746,0.0144388
429,RL,6762,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,108,Gd,TA,PConc,Gd,TA,No,GLQ,664,Unf,544,1208,GasA,Ex,Y,SBrkr,1208,0,1208,1,2,0,2,Gd,6,Typ,0,2,628,Y,105,54,0,0,9,2007,New,Partial,195400,Medium,0.029292806,0.025881968
430,RL,11457,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,6,1988,1988,Gable,CompShg,HdBoard,HdBoard,None,0,TA,TA,CBlock,Gd,TA,Mn,GLQ,1005,Unf,387,1392,GasA,TA,Y,SBrkr,1412,0,1412,1,2,0,3,Gd,6,Typ,1,2,576,Y,0,0,0,0,3,2009,WD,Normal,175000,Medium,0.025108119,0.023179859
431,RM,1680,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232,TA,TA,CBlock,TA,TA,No,ALQ,387,Unf,96,483,GasA,TA,Y,SBrkr,483,504,987,0,1,1,2,TA,4,Typ,0,1,264,Y,0,0,0,0,7,2008,COD,Abnorml,85400,Medium,0.025108119,0.011311771
432,RM,5586,IR1,Bnk,AllPub,Inside,Gtl,OldTown,Feedr,Norm,1Fam,1.5Fin,6,1920,1998,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,901,901,GasA,Gd,Y,SBrkr,1088,110,1198,0,1,0,4,TA,7,Typ,0,0,0,N,0,98,0,0,9,2008,ConLD,Abnorml,79900,Medium,0.025108119,0.010583261
433,RM,1920,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,TwnhsE,2Story,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,376,TA,TA,CBlock,TA,TA,No,ALQ,471,Unf,294,765,GasA,Ex,Y,SBrkr,765,600,1365,1,1,1,2,TA,6,Min1,0,2,440,Y,240,36,0,0,8,2007,WD,Normal,122500,Medium,0.020923433,0.016225901
434,RL,10839,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,1997,1998,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,0,Unf,926,926,GasA,Ex,Y,SBrkr,926,678,1604,0,2,1,3,TA,7,Typ,1,2,470,Y,0,36,0,0,7,2008,WD,Normal,181000,Medium,0.025108119,0.023974597
435,RM,1890,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,SFoyer,4,1972,1972,Gable,CompShg,CemntBd,CmentBd,None,0,TA,Gd,CBlock,Gd,TA,Av,ALQ,495,Unf,135,630,GasA,Gd,Y,SBrkr,630,0,630,1,1,0,1,TA,3,Typ,0,0,0,Y,88,0,0,0,6,2008,WD,Normal,81000,Low,0.016738746,0.010728963
436,RL,10667,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,PosN,Norm,1Fam,2Story,7,1996,1996,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,385,ALQ,70,799,GasA,Ex,Y,SBrkr,827,834,1661,1,2,1,3,Gd,6,Typ,1,2,550,Y,158,61,0,0,4,2009,ConLw,Normal,212000,Medium,0.029292806,0.028080743
437,RM,4400,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,6,1920,1950,Gable,CompShg,Stucco,Stucco,None,0,TA,TA,BrkTil,Fa,TA,No,Unf,0,Unf,648,648,GasA,TA,Y,FuseA,734,384,1118,0,1,0,2,TA,6,Typ,0,2,440,Y,0,0,0,0,10,2006,WD,Normal,116000,Medium,0.025108119,0.015364935
438,RM,6000,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,6,1926,2004,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,TA,PConc,TA,TA,No,Unf,0,Unf,884,884,GasA,Gd,Y,SBrkr,904,0,904,0,1,0,2,TA,4,Typ,0,1,180,Y,0,0,0,0,1,2009,WD,Normal,119000,Medium,0.025108119,0.015762304
439,RL,4280,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1Story,5,1913,2002,Gable,CompShg,WdShing,Stucco,None,0,TA,TA,PConc,TA,TA,No,LwQ,365,Unf,75,440,GasA,TA,N,SBrkr,694,0,694,0,1,0,2,Gd,4,Typ,1,1,352,P,0,0,0,0,3,2007,WD,Normal,90350,Medium,0.020923433,0.01196743
440,RL,12354,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,1920,2000,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,Fa,Mn,Unf,0,Unf,684,684,GasA,Gd,Y,SBrkr,684,512,1196,0,1,0,3,Gd,7,Typ,0,2,528,Y,0,46,0,0,8,2009,ConLI,Normal,110000,Medium,0.025108119,0.014570197
441,RL,15431,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,2008,2008,Hip,CompShg,VinylSd,VinylSd,Stone,200,Ex,TA,PConc,Ex,TA,Gd,GLQ,1767,ALQ,788,3094,GasA,Ex,Y,SBrkr,2402,0,2402,1,2,0,2,Ex,10,Typ,2,3,672,Y,0,72,170,0,4,2009,WD,Normal,555000,High,0.041846865,0.073513267
442,RL,12108,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,1955,1955,Gable,CompShg,VinylSd,VinylSd,BrkFace,270,TA,TA,CBlock,TA,TA,No,ALQ,133,Unf,1307,1440,GasA,TA,N,FuseF,1440,0,1440,0,2,0,4,Fa,8,Typ,0,0,0,Y,0,0,0,0,9,2008,WD,Normal,118000,Low,0.016738746,0.015629848
443,RM,6240,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1930,1992,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,PConc,TA,TA,No,Unf,0,Unf,1078,1078,GasA,TA,Y,SBrkr,1128,445,1573,0,2,0,3,TA,8,Typ,1,2,360,P,0,0,0,0,6,2008,WD,Normal,162900,Medium,0.020923433,0.021577137
444,RL,3922,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2006,2007,Gable,CompShg,WdShing,Wd Shng,BrkFace,72,Gd,TA,PConc,Ex,TA,Av,Unf,0,Unf,1258,1258,GasA,Ex,Y,SBrkr,1258,0,1258,0,2,0,2,Gd,6,Typ,1,3,648,Y,144,16,0,0,6,2007,New,Partial,172500,Medium,0.029292806,0.022848718
445,RL,8750,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,1994,1995,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,Gd,PConc,Gd,TA,No,GLQ,642,Unf,273,915,GasA,Ex,Y,SBrkr,933,975,1908,1,2,1,4,Gd,8,Typ,1,2,493,Y,144,133,0,0,7,2008,WD,Normal,210000,Medium,0.029292806,0.027815831
446,RL,9855,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,6,1956,1956,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Unf,0,Unf,1436,1436,GasA,Fa,Y,SBrkr,1689,0,1689,0,1,0,3,TA,7,Typ,1,2,480,Y,0,0,0,0,11,2009,COD,Normal,127500,Medium,0.025108119,0.016888183
447,RL,16492,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0,Gd,TA,CBlock,TA,TA,No,ALQ,247,Rec,557,1517,GasA,Ex,Y,SBrkr,1888,0,1888,0,2,1,2,Gd,6,Mod,1,2,578,Y,0,0,0,0,6,2010,WD,Normal,190000,Medium,0.025108119,0.025166704
448,RL,11214,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,930,930,GasA,Gd,Y,SBrkr,956,930,1886,0,2,1,4,Gd,10,Typ,1,2,431,Y,89,0,0,0,7,2006,WD,Normal,199900,Medium,0.029292806,0.026478022
449,RM,8600,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,6,1937,1950,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,780,780,GasA,TA,Y,SBrkr,780,596,1376,0,2,0,3,TA,7,Typ,1,1,198,N,0,0,0,0,6,2006,WD,Normal,119500,Medium,0.025108119,0.015828532
450,RM,6000,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,3,1948,2002,Gable,CompShg,MetalSd,MetalSd,None,0,TA,Gd,CBlock,TA,TA,No,ALQ,331,Unf,318,649,GasA,Ex,Y,SBrkr,679,504,1183,0,1,1,2,TA,6,Typ,0,1,308,Y,0,176,0,0,6,2007,WD,Normal,120000,Low,0.01255406,0.01589476
451,RM,5684,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,1930,2005,Hip,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,813,813,GasA,Ex,Y,FuseA,813,0,813,0,1,0,2,Gd,5,Typ,0,1,270,N,0,113,0,0,6,2006,WD,Normal,110000,Medium,0.025108119,0.014570197
452,RL,70761,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,1975,1975,Gable,WdShngl,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,ALQ,655,Unf,878,1533,GasA,TA,Y,SBrkr,1533,0,1533,1,2,0,2,Gd,5,Typ,2,2,576,Y,200,54,0,0,12,2006,WD,Normal,280000,Medium,0.029292806,0.037087774
453,RL,9303,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,2Story,6,1996,1997,Hip,CompShg,VinylSd,VinylSd,BrkFace,42,Gd,TA,PConc,Ex,TA,No,ALQ,742,Unf,130,872,GasA,Ex,Y,SBrkr,888,868,1756,1,2,1,3,TA,7,Typ,0,2,422,Y,144,122,0,0,7,2007,WD,Normal,204000,Medium,0.025108119,0.027021093
454,FV,9000,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,2008,2008,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,768,768,GasA,Ex,Y,SBrkr,786,804,1590,0,2,1,3,Gd,6,Typ,0,2,676,Y,0,30,0,0,6,2009,WD,Normal,210000,High,0.033477492,0.027815831
455,RL,9297,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,Duplex,1Story,5,1976,1976,Gable,CompShg,Plywood,Plywood,None,0,TA,TA,CBlock,TA,TA,No,ALQ,1606,Unf,122,1728,GasA,TA,Y,SBrkr,1728,0,1728,2,2,0,4,TA,8,Typ,0,2,560,Y,0,0,0,0,7,2006,WD,Family,188000,Medium,0.020923433,0.024901791
456,RL,9600,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,320,TA,TA,CBlock,TA,TA,No,ALQ,916,Unf,326,1242,GasA,Fa,Y,SBrkr,1242,0,1242,0,1,1,3,TA,6,Typ,1,2,528,Y,0,0,0,0,9,2007,WD,Normal,175500,Medium,0.029292806,0.023246087
457,RM,4571,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,624,624,GasA,Fa,N,SBrkr,624,720,1344,0,1,0,4,TA,7,Typ,0,3,513,Y,0,0,0,0,5,2008,COD,Abnorml,98000,Medium,0.020923433,0.012980721
458,RL,53227,IR1,Low,AllPub,CulDSac,Mod,ClearCr,Norm,Norm,1Fam,1Story,4,1954,1994,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,TA,CBlock,Gd,TA,Gd,BLQ,1116,Unf,248,1364,GasA,Ex,Y,SBrkr,1663,0,1663,1,1,0,2,Gd,6,Min1,2,2,529,Y,224,137,0,0,3,2008,WD,Normal,256000,Low,0.016738746,0.033908822
459,RM,5100,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,8,1925,1996,Hip,CompShg,Stucco,Wd Shng,None,0,TA,Gd,PConc,TA,TA,No,Unf,0,Unf,588,588,GasA,Fa,Y,SBrkr,833,833,1666,0,1,0,3,Gd,7,Typ,1,1,228,Y,192,63,0,0,6,2008,WD,Normal,161000,High,0.033477492,0.02132547
460,RL,7015,IR1,Bnk,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,5,1950,1950,Gable,CompShg,MetalSd,MetalSd,BrkCmn,161,TA,TA,CBlock,TA,TA,No,LwQ,185,Unf,524,709,GasA,TA,Y,SBrkr,979,224,1203,1,1,0,3,Gd,5,Typ,1,1,352,Y,0,0,0,0,7,2009,WD,Normal,110000,Medium,0.020923433,0.014570197
461,FV,8004,IR1,Lvl,AllPub,Inside,Gtl,Somerst,RRAn,Norm,1Fam,2Story,8,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,110,Gd,TA,PConc,Gd,TA,No,GLQ,544,Unf,288,832,GasA,Ex,Y,SBrkr,832,1103,1935,1,2,1,3,TA,8,Typ,0,2,552,Y,0,150,0,0,12,2009,New,Partial,263435,High,0.033477492,0.034893635
462,RL,7200,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,2Story,7,1936,2007,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,Gd,Gd,PConc,Gd,Gd,No,ALQ,350,BLQ,0,560,GasA,Ex,Y,SBrkr,575,560,1135,1,1,0,3,Gd,6,Typ,0,2,576,Y,256,0,0,0,4,2009,WD,Normal,155000,Medium,0.029292806,0.020530732
463,RL,8281,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,1965,1965,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,Rec,553,BLQ,0,864,GasA,Gd,Y,SBrkr,864,0,864,0,1,0,3,TA,5,Typ,1,1,360,Y,0,0,0,0,12,2009,WD,Normal,62383,Medium,0.020923433,0.008263024
464,RL,11988,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,6,1934,1995,Hip,CompShg,Stucco,Stucco,None,0,TA,TA,CBlock,TA,TA,No,LwQ,326,Unf,389,715,GasA,Fa,Y,FuseA,849,811,1660,0,1,1,3,TA,6,Typ,1,1,240,Y,0,0,0,0,8,2008,WD,Normal,188700,Medium,0.025108119,0.024994511
465,RL,8430,Reg,HLS,AllPub,Inside,Mod,CollgCr,Norm,Norm,1Fam,1Story,5,1978,1978,Gable,CompShg,HdBoard,HdBoard,BrkFace,136,TA,TA,CBlock,Gd,TA,No,Rec,616,Unf,424,1040,GasA,TA,Y,SBrkr,1040,0,1040,0,2,0,3,TA,5,Typ,0,0,0,Y,0,0,0,0,8,2009,WD,Normal,124000,Medium,0.020923433,0.016424586
466,RM,3072,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,2004,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,18,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1375,1375,GasA,Ex,Y,SBrkr,1414,0,1414,0,2,0,2,Gd,6,Typ,1,2,398,Y,144,20,0,0,5,2006,WD,Normal,178740,Medium,0.029292806,0.023675246
467,RL,10628,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,1970,1970,Flat,Tar&Grv,Plywood,Plywood,None,0,TA,Gd,CBlock,TA,Gd,Gd,GLQ,778,Unf,499,1277,GasA,TA,Y,SBrkr,1277,0,1277,1,1,0,2,TA,5,Typ,1,2,526,Y,0,0,176,0,4,2007,WD,Normal,167000,Medium,0.029292806,0.022120208
468,RL,9480,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Artery,Norm,1Fam,2Story,5,1942,1995,Gable,CompShg,MetalSd,MetalSd,Stone,224,TA,TA,CBlock,TA,TA,No,LwQ,386,Unf,342,728,GasA,Ex,Y,SBrkr,888,756,1644,0,1,1,3,Gd,7,Typ,2,1,312,Y,168,0,0,0,6,2007,WD,Normal,146500,Medium,0.020923433,0.019404853
469,RL,11428,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,248,Gd,TA,PConc,Gd,TA,No,Unf,0,Unf,1626,1626,GasA,Ex,Y,SBrkr,1634,0,1634,0,2,0,3,Gd,7,Typ,1,3,866,Y,0,44,0,0,5,2007,WD,Normal,250000,High,0.033477492,0.033114084
470,RL,9291,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,RRNe,Norm,1Fam,2Story,6,1993,1993,Gable,CompShg,HdBoard,HdBoard,BrkFace,120,Gd,TA,PConc,Gd,TA,No,GLQ,426,Unf,406,832,GasA,Ex,Y,SBrkr,832,878,1710,0,2,1,3,Gd,7,Typ,0,2,506,Y,144,70,0,0,6,2008,WD,Normal,187000,Medium,0.025108119,0.024769335
471,RL,6820,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0,Gd,TA,PConc,Gd,TA,Av,GLQ,368,BLQ,0,1488,GasA,TA,Y,SBrkr,1502,0,1502,1,1,1,1,Gd,4,Typ,0,2,528,Y,0,54,140,0,6,2010,WD,Normal,212000,High,0.033477492,0.028080743
472,RL,11952,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosA,Norm,1Fam,2Story,7,1977,1977,Mansard,WdShake,WdShing,Plywood,None,0,TA,TA,CBlock,Gd,TA,No,Unf,0,Unf,808,808,GasA,TA,Y,SBrkr,1161,808,1969,0,2,1,3,TA,8,Typ,1,2,534,Y,0,0,276,0,11,2007,WD,Normal,190000,Medium,0.029292806,0.025166704
473,RM,3675,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SLvl,6,2005,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,80,TA,TA,PConc,Gd,TA,Gd,GLQ,459,Unf,88,547,GasA,Ex,Y,SBrkr,1072,0,1072,1,1,0,2,TA,5,Typ,0,2,525,Y,0,28,0,0,6,2008,WD,Normal,148000,Medium,0.025108119,0.019603538
